Kode,Sektor,KodeInd,SubIndustri,Nama Emiten,Sharia,Tanggal,Tahun Buku,Tipe Lap,Opini,Aset,Utang,Modal,Penjual,EBT(RP),Proft,ProftOwner,EPS(RP),BV(RP),PER,PBV,DER,ROA(%),ROE(%),NPM(%)
CCSI,Industrials,C131,Electrical Components & Equipment,Communication Cable Systems Indonesia Tbk,S,12/31/2022,Dec,A,WTP,795.18,358.19,436.99,615.33,64.7,50.13,50.13,41.77,364.16,16.04,1.84,0.82,6.0,11.0,8.0
CTTH,Industrials,C121,Building Products & Fixtures,Citatah Tbk,S,09/30/2022,Dec,U,0,703.89,510.35,193.54,86.16,-10.58,-10.58,-10.58,-9.39,157.24,-5.33,0.32,2.64,-2.0,-6.0,-13.0
GPSO,Industrials,C143,Industrial Machinery & Components,Geoprima Solusi Tbk,S,09/30/2022,Dec,U,0,60.98,11.12,49.86,7.58,-0.49,-0.49,-0.49,1.82,74.78,63.07,1.54,0.22,2.0,2.0,16.0
HEXA,Industrials,C141,Construction Machinery & Heavy Vehicles,Hexindo Adiperkasa Tbk,S,12/31/2022,Mar,U,0,6900.53,4552.06,2348.47,6398.3,700.51,545.47,545.47,929.93,2795.8,5.62,1.87,1.94,11.0,33.0,12.0
HOPE,Industrials,C141,Construction Machinery & Heavy Vehicles,Harapan Duta Pertiwi Tbk,S,09/30/2022,Dec,U,0,194.54,72.91,121.63,51.9,0.5,0.54,0.54,0.55,57.09,90.55,0.88,0.6,1.0,1.0,2.0
IKBI,Industrials,C131,Electrical Components & Equipment,Sumi Indo Kabel Tbk,S,12/31/2022,Mar,U,0,1893.84,822.66,1071.18,2616.65,29.3,24.24,24.24,14.35,875.15,14.49,0.24,0.77,1.0,2.0,1.0
IMPC,Industrials,C121,Building Products & Fixtures,Impack Pratama Industri Tbk,S,09/30/2022,Dec,U,0,3162.55,1387.37,1775.18,2028.94,290.5,207.75,205.97,52.29,359.82,65.59,9.53,0.78,8.0,15.0,13.0
INTA,Industrials,C141,Construction Machinery & Heavy Vehicles,Intraco Penta Tbk,S,09/30/2022,Dec,U,0,2383.51,4172.32,-1788.82,497.16,-54.78,-58.49,-52.37,-79.91,-534.94,-0.93,-0.14,-2.33,-11.0,0.0,-54.0
JECC,Industrials,C131,Electrical Components & Equipment,Jembo Cable Company Tbk,S,09/30/2022,Dec,U,0,2214.74,1510.16,704.58,1985.78,10.89,8.34,8.34,75.39,4659.9,64.99,1.05,2.14,1.0,2.0,1.0
KBLI,Industrials,C131,Electrical Components & Equipment,KMI Wire & Cable Tbk,S,09/30/2022,Dec,U,0,2742.04,302.62,2439.42,1479.11,5.6,2.46,3.09,18.94,608.75,15.52,0.48,0.12,3.0,3.0,5.0
KBLM,Industrials,C131,Electrical Components & Equipment,Kabelindo Murni Tbk,S,09/30/2022,Dec,U,0,1467.12,239.57,1227.55,1150.12,14.65,14.12,14.12,10.33,1096.03,23.82,0.22,0.2,1.0,1.0,1.0
KIAS,Industrials,C121,Building Products & Fixtures,Keramika Indonesia Assosiasi Tbk,S,09/30/2022,Dec,U,0,1093.98,251.2,842.78,478.77,-3.65,-0.76,-3.65,0.35,56.45,142.55,0.89,0.3,0.0,1.0,1.0
KOBX,Industrials,C141,Construction Machinery & Heavy Vehicles,Kobexindo Tractors Tbk,S,09/30/2022,Dec,U,0,2806.67,2203.84,602.83,1946.37,106.38,97.46,96.94,98.05,265.27,2.96,1.09,3.66,8.0,37.0,11.0
KOIN,Industrials,C121,Building Products & Fixtures,Kokoh Inti Arebama Tbk,S,09/30/2022,Dec,U,0,1223.05,1163.41,59.64,2285.74,-36.18,-38.66,-38.66,-50.52,60.81,-2.34,1.94,19.51,-4.0,-83.0,-2.0
KPAL,Industrials,C141,Construction Machinery & Heavy Vehicles,Steadfast Marine Tbk,S,09/30/2020,Dec,U,0,763.46,579.64,183.82,30.56,-13.61,-13.61,-12.9,-14.17,171.96,0.0,0.29,3.15,-2.0,-8.0,-50.0
KRAH,Industrials,C143,Industrial Machinery & Components,PT Grand Kartech Tbk,S,09/30/2019,Dec,U,0,598.21,563.69,34.51,179.5,-24.19,-24.19,-24.19,-94.7,35.54,0.0,12.27,16.33,-15.0,-266.0,-51.0
KUAS,Industrials,C121,Building Products & Fixtures,Ace Oldfields Tbk,S,12/31/2022,Dec,A,WTP,269.54,120.39,149.15,153.83,10.91,7.86,7.86,6.08,115.37,8.71,0.46,0.81,3.0,5.0,5.0
LABA,Industrials,C143,Industrial Machinery & Components,Ladangbaja Murni Tbk,S,09/30/2022,Dec,U,0,66.58,6.81,59.76,30.59,-4.27,-3.33,-3.33,-6.56,59.09,-14.49,1.61,0.11,-10.0,-11.0,-22.0
MARK,Industrials,C143,Industrial Machinery & Components,PT Mark Dynamics Indonesia Tbk.,S,09/30/2022,Dec,U,0,999.64,228.37,771.27,736.07,278.8,217.59,217.59,87.79,202.97,7.18,3.1,0.3,33.0,43.0,45.0
MLIA,Industrials,C121,Building Products & Fixtures,Mulia Industrindo Tbk,S,12/31/2022,Dec,A,WTP,6806.95,2323.81,4483.14,5073.81,1092.81,853.71,853.71,129.06,677.72,3.99,0.76,0.52,13.0,19.0,17.0
NTBK,Industrials,C141,Construction Machinery & Heavy Vehicles,Nusatama Berkah Tbk,S,12/31/2022,Dec,A,WTM,153.07,61.66,91.41,101.88,2.6,1.7,1.7,0.32,33.85,158.22,1.48,0.67,1.0,2.0,2.0
SCCO,Industrials,C131,Electrical Components & Equipment,Supreme Cable Manufacturing & Commerce Tbk,S,09/30/2022,Dec,U,0,4830.36,366.95,4463.41,4076.05,124.65,101.83,101.65,613.41,21710.95,14.02,0.4,0.08,3.0,3.0,3.0
SINI,Industrials,C121,Building Products & Fixtures,Singaraja Putra Tbk,S,12/31/2022,Dec,A,WTP,212.08,159.66,52.42,413.65,14.99,10.65,4.99,10.37,108.99,202.45,19.27,3.05,2.0,10.0,1.0
SKRN,Industrials,C141,Construction Machinery & Heavy Vehicles,Superkrane Mitra Utama Tbk,S,09/30/2022,Dec,U,0,1696.04,1064.63,631.41,449.49,105.66,87.65,87.65,11.43,84.19,42.71,5.8,1.69,5.0,14.0,19.0
SPTO,Industrials,C121,Building Products & Fixtures,Surya Pertiwi Tbk,S,12/31/2022,Dec,A,WTM,3116.15,1008.51,2107.64,2505.64,279.75,225.04,206.68,73.01,780.61,7.53,0.7,0.48,7.0,10.0,8.0
