kode;skg;lo;hi;om;dev;roe;pery;epsy;pbvy;bvy;aksiy;vol;m;cash;opcash;ph;ut;tcs
IGAR;444.0;406.0;472.0;0.038;0.0;0.069520004;0;0.0;0.7296295;608.528;none;200760.0;438.21;406192914432.0;221991911424.0;901924913152.0;0.0;419.523
IIKP;50.0;50.0;50.0;0.0;0.0;0.0;0;0.0;0.0;0.0;none;0.0;50.0;0.0;0.0;0.0;0.0;0.0
IKAI;50.0;50.0;52.0;0.00657;0.0;0.00783;0;0.0;0.91665745;54.546;none;2140.0;50.005;2071021952.0;2462917120.0;228584226816.0;256438976512.0;0.156
IKAN;50.0;50.0;73.0;-0.00071999995;0.0;0.019170001;0;0.0;0.5695604;87.787;none;169450.0;52.83;1511126656.0;-2643107072.0;134971932672.0;43301367808.0;1.813
IKBI;484.0;196.0;970.0;0.03879;0.1419;0.10981;0;0.0;8066.667;0.06;none;274750.0;475.84;4344009.0;16756397.0;239366704.0;5698364.0;0.004
IKPM;0.0;164.0;286.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;6840560.0;218.87805;0.0;0.0;0.0;0.0;0.0
IMAS;1405.0;960.0;3370.0;0.13281;0.0849;0.04571;13.640777;103.0;0.45952353;3057.515;none;6236120.0;1688.9;3396780949504.0;477369008128.0;28806274351104.0;39297524695040.0;850.409
IMJS;248.0;248.0;488.0;0.0085;0.0366;0.01143;0;0.0;0.53404886;464.377;none;13529500.0;316.9;1572655333376.0;-278169518080.0;4506232291328.0;22743623925760.0;181.719
IMPC;388.0;287.27274;430.0;0.25136998;1.7816;0.21767001;0;0.0;9.644304;40.231;hold;12314110.0;357.84454;262596280320.0;571806777344.0;2866409635840.0;511125979136.0;4.839
INAF;392.0;380.0;815.0;-0.78718;0.0;-3.9763699;0;0.0;0.0;-33.989;none;118820.0;531.945;209807114240.0;-254290935808.0;684912934912.0;771724345344.0;67.696
INAI;185.0;171.0;268.0;0.029089998;0.0;-0.39054;0;0.0;0.47349817;390.709;none;91880.0;205.285;41551859712.0;-28986578944.0;1219961159680.0;796817686528.0;65.581
INCF;50.0;50.0;51.0;0.21767999;0.0;0.00754;0;0.0;0.5703725;87.662;none;630.0;50.0;7437213184.0;29868656640.0;236747341824.0;287057838080.0;4.417
INCI;605.0;495.83334;670.55554;0.13206;0.0;0.04058;0;0.0;0.29093337;2079.514;none;62540.0;540.225;126877908992.0;36893126656.0;363203723264.0;608160000.0;610.999
INCO;4060.0;3610.0;7100.0;0.15308;0.2165;0.11153;15.219672;266.76;15736.435;0.258;buy;19297570.0;5306.075;698795008.0;421158016.0;1232263040.0;8621000.0;0.07
INDF;6500.0;6050.0;7550.0;0.17044;0.2565;0.12938;5.707011;1138.95;0.977538;6649.358;buy;7334580.0;6779.625;31241631956992.0;14134998466560.0;113896853602304.0;69307987918848.0;3558.099
INDO;100.0;80.0;115.0;0.03195;0.0;0.02003;0;0.0;0.4430307;225.718;none;1176640.0;95.5;297352462336.0;9231692800.0;12543539200.0;603451072.0;67.845
INDR;3570.0;2800.0;5050.0;-0.05169;0.0;-0.09272;0;0.0;5684.7134;0.628;none;154810.0;3526.1;12574550.0;48494796.0;785598016.0;117787800.0;0.019
INDS;2300.0;1935.0;3750.0;0.11862001;0.2408;0.09648;0;0.0;0.50796294;4527.889;none;7920.0;2595.4;111141142528.0;656567435264.0;3924600029184.0;370485329920.0;169.358
INDX;108.0;101.0;264.0;-0.51308;0.0;-0.23969;0;0.0;1.1306652;95.519;none;251740.0;136.635;7071863808.0;-4527781888.0;3654645504.0;8334359552.0;16.149
INDY;1425.0;1285.0;2800.0;0.06895;0.319;0.18777001;4.324341;329.53;6115.88;0.233;buy;9919760.0;1764.225;763271680.0;97267048.0;3500228096.0;1154437760.0;0.147
INET;60.0;52.0;314.0;0.11529;0.0;0.0;0;0.0;2.0905924;28.7;none;303805440.0;155.72327;1465798272.0;-25644601344.0;25296244736.0;760665856.0;0.195
INKP;8300.0;6775.0;11850.0;0.1491;0.0343;0.09404001;4.7226443;1757.49;7685.185;1.08;buy;7453440.0;8818.25;2614918912.0;754721984.0;3691589888.0;3522020096.0;0.478
INOV;140.0;115.0;198.0;0.052750003;0.0;-0.14295;0;0.0;0.910806;153.71;none;159980.0;153.54;161990836224.0;47225450496.0;621948764160.0;652096045056.0;89.586
INPC;70.0;61.0;87.0;0.11071;0.0;0.02458;0;0.0;0.34333247;203.884;none;863060.0;71.89;3819331911680.0;1471571951616.0;1082229981184.0;454402015232.0;188.857
INPP;1000.0;390.0;1160.0;0.26176;0.0;0.03494;0;0.0;2.1065493;474.71;none;590920.0;609.61;390451200000.0;294335807488.0;1246464966656.0;1630377213952.0;34.918
INPS;140.0;105.0;354.0;0.1353;0.0;-0.28779;0;0.0;1.3365538;104.747;none;213120.0;182.45;1386556672.0;-27163643904.0;281674219520.0;114887892992.0;2.133
INRU;430.0;390.0;1235.0;-0.02123;0.0;-0.34473;0;0.0;4942.529;0.087;none;62630.0;884.825;570000.0;51386000.0;127160000.0;278379008.0;0.0
INTA;50.0;50.0;74.0;0.086569995;0.0;0.0;0;0.0;0.0;-516.997;none;750.0;50.02;84360003584.0;86853001216.0;867030990848.0;3668843954176.0;25.228
INTD;140.0;127.0;230.0;0.00465;0.0;0.01673;0;0.0;2.0236478;69.182;none;651900.0;156.66;16195449856.0;-5997111808.0;45957214208.0;0.0;27.365
INTP;8900.0;8725.0;11500.0;0.13486;0.2548;0.11097;14.200466;626.74;1.505361;5912.203;buy;1591980.0;9819.25;4781450985472.0;2764741017600.0;17595023491072.0;907715018752.0;1393.573
IOTF;254.0;76.0;270.0;0.06307;0.0;0.0;0;0.0;23.987158;10.589;none;30283230.0;157.72382;1212974592.0;-2907474688.0;55583690752.0;13714445312.0;0.29
IPAC;94.0;82.0;149.0;-0.12197;0.0;0.09739;0;0.0;2.8698783;32.754;none;4470.0;112.725;29322315776.0;1721636096.0;26765209600.0;0.0;30.87
IPCC;695.0;575.0;865.0;0.45248002;0.5813;0.16610001;0;0.0;1.0415106;667.3;none;1672760.0;728.625;613096423424.0;327994703872.0;766395416576.0;394818387968.0;337.165
IPCM;278.0;250.0;306.0;0.15291001;0.66980004;0.14125;0;0.0;1.1997652;231.712;none;529230.0;284.21;407965827072.0;201967288320.0;1167227879424.0;15692684288.0;77.314
IPOL;135.0;121.0;161.0;0.027379999;0.0;-0.0033000002;0;0.0;5192.3076;0.026;none;10260.0;144.47;14331210.0;7238869.0;194565200.0;80362864.0;0.002
IPPE;50.0;50.0;51.0;0.20169;0.0;0.00151;0;0.0;0.8059836;62.036;none;2860.0;50.0;1267753984.0;3214433024.0;20163440640.0;5076931072.0;0.276
IPTV;50.0;50.0;70.0;-0.13612;0.0;-0.03914;0;0.0;0.28146815;177.64;none;221650.0;51.1;776867020800.0;739467001856.0;2377307914240.0;1651908018176.0;18.41
IRRA;490.0;436.0;1045.0;0.08306;0.0;0.04804;0;0.0;1.6216091;302.169;none;2656960.0;557.02;14989396992.0;-109166108672.0;504791498752.0;198308954112.0;9.594
IRSX;50.0;50.0;274.0;0.02668;0.0;0.0;0;0.0;1.4768867;33.855;none;9280.0;77.14;29679947776.0;-66384388096.0;311069310976.0;0.0;5.936
ISAP;9.0;8.0;51.0;0.02981;0.0;0.0;0;0.0;0.2139495;42.066;none;4094440.0;15.135;1257481216.0;-144630087680.0;69971599360.0;7280349696.0;0.313
ISAT;11500.0;6475.0;12250.0;0.20233;0.4575;0.14677;14.927892;770.37;3.0157142;3813.359;buy;9276300.0;9474.125;5189573017600.0;17680484532224.0;51228780265472.0;53871040790528.0;643.653
ISSP;288.0;232.0;332.0;0.13076;0.1125;0.08871;0;0.0;0.45564067;632.077;none;1770090.0;286.05;70016999424.0;342458007552.0;6281335144448.0;2723941974016.0;9.91
ITIC;288.0;250.0;346.0;0.19003001;0.0;0.065019995;0;0.0;0.71556884;402.477;none;373950.0;288.44;708367808.0;61797117952.0;262020923392.0;128323076096.0;0.753
ITMA;770.0;376.0;880.0;0.52518004;0.0;0.09985;0;0.0;3649.289;0.211;none;42367540.0;526.395;315070.0;7114.0;112569.0;8391925.0;0.0
ITMG;27125.0;22125.0;41500.0;0.24582;1.3822;0.26726;8.077557;3358.07;17146.018;1.582;hold;1382220.0;26319.5;851558016.0;221044000.0;2374315008.0;53872000.0;0.754
JARR;304.0;143.0;336.0;0.04073;0.0;0.041550003;0;0.0;2.024278;150.177;none;12531130.0;213.825;152376524800.0;287399706624.0;4374478454784.0;1436971958272.0;19.047
JAST;50.0;50.0;81.0;-0.09361;0.0;-0.1095;0;0.0;0.68670946;72.811;none;177100.0;54.49;13043192832.0;-15052048384.0;74358349824.0;32129048576.0;12.048
JATI;50.0;50.0;244.0;0.00717;0.0;0.0377;0;0.0;1.0260199;48.732;none;65910.0;86.085;79268380672.0;9442907136.0;469517565952.0;41387159552.0;24.297
JAWA;123.0;62.0;228.0;-0.03976;0.0;-2.94539;0;0.0;5.5721664;22.074;none;822700.0;117.535;2881799936.0;-121396862976.0;909387825152.0;3250078875648.0;0.763
JAYA;115.0;102.0;148.0;0.19976;0.4127;0.095010005;0;0.0;0.7371842;155.999;none;461000.0;121.6;8662345728.0;17740339200.0;83165134848.0;29103224832.0;10.887
JECC;1650.0;1490.0;4940.0;0.0688;0.1626;0.12554;0;0.0;0.32116157;5137.601;none;23910.0;3113.35;84598235136.0;233133211648.0;2903428300800.0;730325319680.0;559.512
JGLE;50.0;50.0;50.0;0.24475999;0.0;-0.48341;0;0.0;0.975724;51.244;none;810.0;50.0;36320002048.0;4700000256.0;157885005824.0;323481010176.0;1.608
JIHD;376.0;302.0;498.0;0.08194;0.0;0.04336;0;0.0;0.24645588;1525.628;none;5380.0;398.53;393922772992.0;543257264128.0;1425778671616.0;174344585216.0;169.135
JKON;93.0;78.0;153.0;0.0747;0.266;0.06572;0;0.0;0.53065836;175.254;none;36070480.0;101.885;329054453760.0;234501931008.0;4677503025152.0;553886810112.0;20.177
